OLTID,ONUSerial,ONUSTARTEVENT-ONU-discovery-indication-sent,ONUENDEVENT-Flow-add-received,EpochTime
A4,BBSM00040401,1577868535543.0,1577868579830.0,44287.0
A4,BBSM00040402,1577868535544.0,1577868579977.0,44433.0
A4,BBSM00040403,1577868535545.0,1577868580690.0,45145.0
A4,BBSM00040404,1577868535549.0,1577868580904.0,45355.0
A4,BBSM0004040B5,1577868535554.0,1577868582262.0,46708.0
A4,BBSM0004040C4,1577868535555.0,1577868582747.0,47192.0
A4,BBSM00040407,1577868535557.0,1577868582828.0,47271.0
A4,BBSM00040408,1577868535559.0,1577868583097.0,47538.0
A4,BBSM00040409,1577868535561.0,1577868583428.0,47867.0
A4,BBSM0004040a,1577868535563.0,1577868583692.0,48129.0
A4,BBSM0004040b,1577868535566.0,1577868584014.0,48448.0
A4,BBSM0004040c,1577868535568.0,1577868584258.0,48690.0
A4,BBSM0004040d,1577868535570.0,1577868584381.0,48811.0
A4,BBSM0004040e,1577868535575.0,1577868584610.0,49035.0
A4,BBSM0004040f,1577868535576.0,1577868584672.0,49096.0
A4,BBSM00040410,1577868535577.0,1577868584737.0,49160.0
A4,BBSM00040411,1577868535579.0,1577868584945.0,49366.0
A4,BBSM00040412,1577868535580.0,1577868585091.0,49511.0
A4,BBSM00040413,1577868535583.0,1577868585295.0,49712.0
A4,BBSM00040414,1577868535585.0,1577868585396.0,49811.0
A4,BBSM0004041B5,1577868535587.0,1577868585639.0,50052.0
A4,BBSM0004041C4,1577868535590.0,1577868585694.0,50104.0
A4,BBSM00040417,1577868535592.0,1577868585773.0,50181.0
A4,BBSM00040418,1577868535594.0,1577868585892.0,50298.0
A4,BBSM00040419,1577868535595.0,1577868585903.0,50308.0
A4,BBSM0004041a,1577868535598.0,1577868586029.0,50431.0
A4,BBSM0004041b,1577868535602.0,1577868586116.0,50514.0
A4,BBSM0004041c,1577868535606.0,1577868586236.0,50630.0
A4,BBSM0004041d,1577868535606.0,1577868586267.0,50661.0
A4,BBSM0004041e,1577868535608.0,1577868586347.0,50739.0
A4,BBSM0004041f,1577868535610.0,1577868586480.0,50870.0
A4,BBSM00040420,1577868535612.0,1577868586489.0,50877.0
A4,BBSM00041001,1577868535613.0,1577868586568.0,50955.0
A4,BBSM00041002,1577868535614.0,1577868586581.0,50967.0
A4,BBSM00041003,1577868535616.0,1577868586683.0,51067.0
A4,BBSM00041004,1577868535618.0,1577868586736.0,51118.0
A4,BBSM0004100B5,1577868535619.0,1577868586818.0,51199.0
A4,BBSM0004100C4,1577868535622.0,1577868586871.0,51249.0
A4,BBSM00041007,1577868535625.0,1577868586962.0,51337.0
A4,BBSM00041008,1577868535628.0,1577868587013.0,51385.0
A4,BBSM00041009,1577868535631.0,1577868587120.0,51489.0
A4,BBSM0004100a,1577868535632.0,1577868587142.0,51510.0
A4,BBSM0004100b,1577868535634.0,1577868587235.0,51601.0
A4,BBSM0004100c,1577868535635.0,1577868587261.0,51626.0
A4,BBSM0004100d,1577868535638.0,1577868587339.0,51701.0
A4,BBSM0004100e,1577868535639.0,1577868587359.0,51720.0
A4,BBSM0004100f,1577868535640.0,1577868587420.0,51780.0
A4,BBSM00041010,1577868535643.0,1577868587488.0,51845.0
A4,BBSM00041011,1577868535644.0,1577868587502.0,51858.0
A4,BBSM00041012,1577868535646.0,1577868587567.0,51921.0
A4,BBSM00041013,1577868535649.0,1577868587596.0,51947.0
A4,BBSM00041014,1577868535652.0,1577868587648.0,51996.0
A4,BBSM0004101B5,1577868535656.0,1577868587714.0,52058.0
A4,BBSM0004101C4,1577868535658.0,1577868587770.0,52112.0
A4,BBSM00041017,1577868535659.0,1577868587797.0,52138.0
A4,BBSM00041018,1577868535662.0,1577868587842.0,52180.0
A4,BBSM00041019,1577868535663.0,1577868587875.0,52212.0
A4,BBSM0004101a,1577868535666.0,1577868587929.0,52263.0
A4,BBSM0004101b,1577868535668.0,1577868587985.0,52317.0
A4,BBSM0004101c,1577868535670.0,1577868588013.0,52343.0
A4,BBSM0004101d,1577868535672.0,1577868588056.0,52384.0
A4,BBSM0004101e,1577868535674.0,1577868588088.0,52414.0
A4,BBSM0004101f,1577868535675.0,1577868588129.0,52454.0
A4,BBSM00041020,1577868535678.0,1577868588146.0,52468.0
A4,BBSM00041801,1577868535681.0,1577868588190.0,52509.0
A4,BBSM00041802,1577868535682.0,1577868588223.0,52541.0
A4,BBSM00041803,1577868535684.0,1577868588261.0,52577.0
A4,BBSM00041804,1577868535687.0,1577868588300.0,52613.0
A4,BBSM0004180B5,1577868535689.0,1577868588338.0,52649.0
A4,BBSM0004180C4,1577868535690.0,1577868588353.0,52663.0
A4,BBSM00041807,1577868535694.0,1577868588418.0,52724.0
A4,BBSM00041808,1577868535695.0,1577868588430.0,52735.0
A4,BBSM00041809,1577868535696.0,1577868588452.0,52756.0
A4,BBSM0004180a,1577868535698.0,1577868588482.0,52784.0
A4,BBSM0004180b,1577868535700.0,1577868588515.0,52815.0
A4,BBSM0004180c,1577868535702.0,1577868588563.0,52861.0
A4,BBSM0004180d,1577868535704.0,1577868588597.0,52893.0
A4,BBSM0004180e,1577868535707.0,1577868588619.0,52912.0
A4,BBSM0004180f,1577868535710.0,1577868588640.0,52930.0
A4,BBSM00041811,1577868535712.0,1577868588676.0,52964.0
A4,BBSM00041810,1577868535711.0,1577868588696.0,52985.0
A4,BBSM00041812,1577868535715.0,1577868588714.0,52999.0
A4,BBSM00041813,1577868535717.0,1577868588748.0,53031.0
A4,BBSM00041814,1577868535719.0,1577868588790.0,53071.0
A4,BBSM0004181B5,1577868535721.0,1577868588827.0,53106.0
A4,BBSM0004181C4,1577868535722.0,1577868588842.0,53120.0
